song_id,title,artist,found,spotify_id,popularity,duration_ms,explicit,release_date,tempo,danceability,energy,valence,acousticness,speechiness,instrumentalness,liveness,loudness,key,mode,time_signature
DR_02,Hotline Bling,Drake,True,0wwPcA6wtMf6HUMpIRdeP7,85,267066,False,2016-05-06,,,,,,,,,,,,
DR_03,One Dance,Drake,True,1zi7xx7UVEFkmKfv06H8x0,92,173986,False,2016-05-06,,,,,,,,,,,,
DR_04,Passionfruit,Drake,True,5mCPDVBb16L4XQwDdbRUpz,89,298940,True,2017-03-18,,,,,,,,,,,,
DR_05,Started From the Bottom,Drake,True,3dgQqOiQ9fCKVhNOedd2lf,70,174120,True,2013-01-01,,,,,,,,,,,,
DR_06,Take Care,Drake,True,124NFj84ppZ5pAxTuVQYCQ,80,277386,True,2011-11-15,,,,,,,,,,,,
DR_07,Marvins Room,Drake,True,047fCsbO4NdmwCBn8pcUXl,80,347226,True,2011-11-15,,,,,,,,,,,,
DR_08,Hold On We're Going Home,Drake,True,6jdOi5U5LBzQrc4c1VT983,82,227880,False,2013-01-01,,,,,,,,,,,,
DR_09,Forever,Drake,True,5UsLjwBaTHBX4ektWIr4XX,72,357706,True,2009-05-15,,,,,,,,,,,,
DR_10,Best I Ever Had,Drake,True,3QLjDkgLh9AOEHlhQtDuhs,80,257690,True,2009,,,,,,,,,,,,
DR_11,Fancy,Drake,True,3fpTMuD1u3gJlVI4FadVHs,76,319386,True,2010-01-01,,,,,,,,,,,,
DR_12,From Time,Drake,True,2WC4sK0ryyysQhtDok9Ytr,73,322160,True,2013-01-01,,,,,,,,,,,,
DS_01,Latch,Disclosure,True,1DunhgeZSEgWiIYbHqXl0c,70,255866,False,2013-06-03,,,,,,,,,,,,
DS_02,F for You,Disclosure,True,2XnnUZJIWSvq5AsE2PpoSz,45,269946,False,2013-06-03,,,,,,,,,,,,
DS_03,You & Me,Disclosure,True,1snNAXmmPXCn0dkF9DaPWw,63,282812,False,2013-06-11,,,,,,,,,,,,
DS_04,White Noise,Disclosure,True,4PPiV0xlKze0D4G93UWLji,53,277520,False,2013-06-03,,,,,,,,,,,,
DS_05,Magnets,Disclosure,True,7nRmfGNhHKEEu5o8yFXLXt,66,199245,False,2015-09-25,,,,,,,,,,,,
DS_06,Holding On,Disclosure,True,19Az4r4Tb5VKSnajMPg8hb,52,315000,False,2015-09-25,,,,,,,,,,,,
DS_07,Voices,Disclosure,True,58mjNT0bwzOvqjt44PWOvJ,37,249026,False,2013-06-03,,,,,,,,,,,,
DS_08,Help Me Lose My Mind,Disclosure,True,4FjT3dqUW2Uq0R3pMz5V7C,66,244480,False,2013-06-03,,,,,,,,,,,,
DS_09,Omen,Disclosure,True,4kuPeLqTPXDkPB2injreCw,69,230250,False,2015-09-25,,,,,,,,,,,,
DS_10,Jaded,Disclosure,True,6c4T1Dz9hwK5xat7eh3g8o,47,274749,False,2015-09-25,,,,,,,,,,,,
DS_11,Good Intentions,Disclosure,True,1zdDIieTg3JyVPeHPO9227,52,282124,False,2015-09-25,,,,,,,,,,,,
DS_12,Ultimatum,Disclosure,True,0slkzFvyBWcwnjEEDtYE5E,47,213381,False,2018-05-17,,,,,,,,,,,,
DS_13,Watch Your Step,Disclosure,True,7G24eVWGQFcDP5DxXGgCSj,47,230932,False,2020-12-18,,,,,,,,,,,,
DS_14,Moving Mountains,Disclosure,True,2vMvitDH9MLigSsxpEVzIN,37,335965,False,2015-09-25,,,,,,,,,,,,
DS_15,Where Angels Fear to Tread,Disclosure,True,1ZqeykOaDmjkldzs7XGR4b,54,225906,False,2018-08-20,,,,,,,,,,,,
EM_01,Lose Yourself,Eminem,True,5Z01UMMf7V1o0MzF86s6WJ,81,326466,True,2005-12-06,,,,,,,,,,,,
EM_02,Stan,Eminem,True,3UmaczJpikHgJFyBTAJVoz,83,404106,True,2000-05-23,,,,,,,,,,,,
EM_03,The Real Slim Shady,Eminem,True,3yfqSUWxFvZELEM4PmlwIR,87,284200,True,2000-05-23,,,,,,,,,,,,
EM_04,Without Me,Eminem,True,7lQ8MOhq6IN2w8EYcFNSUk,90,290320,True,2002-05-26,,,,,,,,,,,,
EM_05,Not Afraid,Eminem,True,7Ie9W94M7OjPoZVV216Xus,81,248133,True,2010-06-18,,,,,,,,,,,,
EM_06,Love The Way You Lie,Eminem,True,15JINEqzVMv3SvJTAXAKED,89,263373,True,2010-06-18,,,,,,,,,,,,
EM_07,Rap God,Eminem,True,6or1bKJiZ06IlK0vFvY75k,76,363521,True,2013-11-05,,,,,,,,,,,,
EM_08,River,Eminem,True,1cS0TgbR263ey9jn0MwD2s,74,221013,True,2017-12-15,,,,,,,,,,,,
EM_09,Cleanin Out My Closet,Eminem,True,7BMO7O7ImjV8HNTH74Tshv,75,297840,True,2002-05-26,,,,,,,,,,,,
EM_10,When I'm Gone,Eminem,True,2lRI7n5b9jlPYsEpRuots6,65,281120,True,2005-12-06,,,,,,,,,,,,
EM_11,Mockingbird,Eminem,True,561jH07mF1jHuk7KlaeF0s,88,250760,True,2004-11-12,,,,,,,,,,,,
EM_12,Beautiful,Eminem,True,1HR2CTi0ytRJIcik1QKdOa,72,392826,True,2009-05-15,,,,,,,,,,,,
ES_01,Shape of You,Ed Sheeran,True,7qiZfU4dY1lWllzX7mPBI3,91,233712,False,2017-03-03,,,,,,,,,,,,
ES_02,Perfect,Ed Sheeran,True,0tgVpDi06FyKpA1z0VMD4v,90,263400,False,2017-03-03,,,,,,,,,,,,
ES_03,Thinking Out Loud,Ed Sheeran,True,34gCuhDGsG4bRPIf9bb02f,86,281560,False,2014-06-21,,,,,,,,,,,,
ES_04,Photograph,Ed Sheeran,True,1HNkqx9Ahdgi1Ixy2xkKkL,88,258986,False,2014-06-21,,,,,,,,,,,,
ES_05,Castle on the Hill,Ed Sheeran,True,6PCUP3dWmTjcTtXY02oFdT,81,261153,False,2017-03-03,,,,,,,,,,,,
ES_06,Galway Girl,Ed Sheeran,False,,,,,,,,,,,,,,,,,
ES_07,Bad Habits,Ed Sheeran,False,,,,,,,,,,,,,,,,,
ES_08,Shivers,Ed Sheeran,False,,,,,,,,,,,,,,,,,
ES_09,Overpass Graffiti,Ed Sheeran,False,,,,,,,,,,,,,,,,,
ES_10,The A Team,Ed Sheeran,False,,,,,,,,,,,,,,,,,
ES_11,Lego House,Ed Sheeran,False,,,,,,,,,,,,,,,,,
ES_12,Happier,Ed Sheeran,False,,,,,,,,,,,,,,,,,
GD_01,Minglewood Blues,Grateful Dead,True,1J0pvpGzQtGb0pMGo9vbJl,27,157729,False,1967,,,,,,,,,,,,
GD_02,They Love Each Other,Grateful Dead,True,4K5etmmA4jQApw5VBznEWK,46,449453,False,2017-05-05,,,,,,,,,,,,
GD_03,Cassidy,Grateful Dead,True,3Ytea3b7VXXkVTN2mRpjvB,50,274226,False,1981-04-01,,,,,,,,,,,,
GD_04,Loser,Grateful Dead,True,5jpq0glczrmrPuTdTkNFDG,43,478066,False,2017-05-05,,,,,,,,,,,,
GD_05,Jack Straw,Grateful Dead,True,0TtuYAtUBFlF3ylF57Qwyg,50,389373,False,2017-05-05,,,,,,,,,,,,
GD_06,Tennessee Jed,Grateful Dead,True,1ae0SQx8MpBXo6QsmrpsEj,50,430626,False,2001,,,,,,,,,,,,
GD_07,Passenger,Grateful Dead,True,2cTgvRjVU6xnyhTWxXgMjP,23,168040,False,1977-07-27,,,,,,,,,,,,
GD_08,Peggy-O,Grateful Dead,True,7GvnEVPbpyxFJEyYrvdBAt,21,358986,False,2013-07-26,,,,,,,,,,,,
GD_09,Me & My Uncle,Grateful Dead,True,5PVOldMP41Vcex0WwO3GTc,35,182973,False,1971-10-31,,,,,,,,,,,,
GD_10,Friend of the Devil,Grateful Dead,True,5ZLzl6T8JwqMTMdoE0nCbU,64,201866,False,1970-06-01,,,,,,,,,,,,
GD_11,Truckin',Grateful Dead,True,1I6l01BaBgBCVkfQCpIlR6,59,306973,False,1970-06-01,,,,,,,,,,,,
GD_12,Casey Jones,Grateful Dead,True,7LbfuQVct78YoghmoPtsQ8,60,265067,False,1970,,,,,,,,,,,,
GD_13,Touch of Grey,Grateful Dead,True,5YzzWlWfAVNvtduNDHKhHc,51,347826,False,2003-09-16,,,,,,,,,,,,
GD_14,Ripple,Grateful Dead,True,1OE5l6sedVcIFELMuxQOPI,65,249733,False,1970-06-01,,,,,,,,,,,,
GD_15,Scarlet Begonias,Grateful Dead,True,3euDGpS2R0NC2Xssqxohva,59,259702,False,1974,,,,,,,,,,,,
GW_01,Everything Is Free,Gillian Welch,True,3KLtHfl1z17beGV5el2yeU,47,288000,False,2001-07-31,,,,,,,,,,,,
GW_02,Time (The Revelator),Gillian Welch,True,3d3uCbMDDCzIJlbVNd18C3,39,382560,False,2001-07-31,,,,,,,,,,,,
GW_03,Elvis Presley Blues,Gillian Welch,True,7kugdzJaspAoBNOEdp1qwE,35,293693,False,2001-07-31,,,,,,,,,,,,
GW_04,Orphan Girl,Gillian Welch,True,28RSIjTle8Rru7vnZxTPQr,38,237293,False,1996-04-09,,,,,,,,,,,,
